;Licence +;Licence ++;Licence +++;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TripAdvisor;"""Vous pouvez annuler votre inscription auprès de TripAdvisor. Après réception d’une confirmation de votre part, nous retirerons les informations vous concernant de notre base de données active""";;;"Proposition de Licence : ""Délai supplémentaire de suppression pour certaines données sans anonymisation "" : "" ""Vous pouvez annuler votre inscription auprès de TripAdvisor. Après réception d’une confirmation de votre part, nous retirerons les informations vous concernant de notre base de données active, mais certaines informations resteront dans nos archives pendant un délai supplémentaire avant leur effacement. Nous pourrions ne pas être en mesure de retirer les informations vous concernant des bases de données de nos partenaires après que nous les ayons transmises. Pour en savoir plus, veuillez consulter notre section Aide.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uber;;;"Anonymisation après la suppression du compte, à moins que ces données soient nécessaire afin de se conformer à une obligation légale ou pour résoudre un litige : ""After deletion of your account we will anonymize your data, unless these data are necessary to comply with a legal obligation or resolve disputes.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VSCO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kayak;;;;Pas de délai de suppression – suppression sur demande uniquement « Vous pouvez également demander la suppression ou la rectification de vos données personnelles, cependant, certaines dispositions légales interdissent peut-être la suppression ou l'anonymat, en particulier celles affectant la comptabilité de KAYAK, le traitement des réclamations et la rétention de données obligatoires»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DeviantArt;Information Disclosed for Our Protection and the Protection of Others. We will disclose PII when required by law or under the good-faith belief that such disclosure is necessary in order to conform to applicable law, comply with subpoenas, court orders or legal process served on DeviantArt, to establish or exercise our legal rights or defend against legal claims, and to protect the property or interests of DeviantArt, its agents and employees, personal safety, or the public. Under these circumstances, DeviantArt may be prohibited by law, court order or other legal process from providing notice of the disclosure, and DeviantArt reserves the right under those conditions to not provide notice in its sole discretion.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Go Voyages ;Il n'y a aucune information quand au délai d'anonymisation ou de suppression des données personnelles dans la politique de confidentialité de go voyage . Il est dès lors possible d'imaginer que Go voyage se soumet aux obligations légales françaises. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heetch;n/a;n/a;n/a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boursorama;n/a;n/a;"Les données renseignées par le MEMBRE sont conservées par BOURSORAMA
pendant toute la durée du Contrat. Les données sont ensuite stockées à des fins
d’archivage. L'archivage des données est effectué sur un support fiable et
durable de manière à correspondre à une copie fidèle et durable, conformément à
l'article 1348 du code civil. Autrement dit, suite à la fin du contrat,
Boursorama peut garder les données personnelles de ses anciens membres sous
formes d'archives et sans durée légale explicite, et sans anonymisation, et
ceci à des fins d'archivages.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paypal;;;"Aucune suppression pour lutter contre les fraudes bancaires (délai pas indiqué) : Vous pouvez revoir les informations personnelles que vous nous avez communiquées et les modifier ou changer des paramètres relatifs à votre compte PayPal, et ce à tout moment en vous connectant à votre compte sur le site PayPal et en cliquant sur Mon compte, Préférences pour modifier vos paramètres. Vous pouvez également fermer votre compte à partir du site PayPal. Dans ce cas, nous le signalons dans notre base de données comme étant ""Clos"" mais nous conservons les informations qui lui sont associées. Cela est nécessaire pour prévenir les fraudes, afin que des personnes malveillantes ne puissent éviter d'être détectées simplement en fermant leur compte, puis en ouvrant un nouveau compte. Toutefois, si vous fermez votre compte, nous nous engageons à ne pas utiliser, vendre ou communiquer vos informations personnelles à des tiers à quelque fin que ce soit, sauf pour prévenir de la fraude et permettre l'application de la réglementation, ou si la loi l'exige.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAD;Le Client peut a? tout moment contacter Rad et s'opposer a? l'utilisation de ses donne?es personnelles enregistre?es par Rad. Pour cela il suffit d'envoyer un message via la page contact du site.;;;La formulation de cette clause ne répond pas parfaitement à la question mais laisse penser à une licence + dans son esprit. Le site RAD semble globalement très respectueux de la vie privée de ses consommateurs.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
